Japan 2025,City,Name,Latitude,Longitude, Cost 
,,,,,
,Tokyo,Pokemon Cafe Tokyo Nihonbashi,139.774353,35.6803932, $17.42 
,Tokyo,Pokémon Center Mega Tokyo & Pikachu Sweets,139.7193245,35.7289056, $-   
,Tokyo,Tokyo DisneySea,139.8850779,35.6267108, $70.00 
,Tokyo,Tokyo International Airport (Haneda Airport),139.7779951,35.5482964, $-   
,Tokyo,ringram,139.7082341,35.6694863, $-   
,Tokyo,Sushi-Ryo,139.7646428,35.6663435, $160.00 
,Tokyo,MEGA Don Quijote,139.6978782,35.6605137, $-   
,Tokyo,THE FLAVOR DESIGN STORE TOKYO,139.7063339,35.6579796, $32.00 
,Tokyo,ART AQUARIUM MUSEUM,139.7657375,35.6713698, $16.00 
,Tokyo,Starbucks Reserve Roastery Tokyo,139.6925907,35.6492642, $-   
,Tokyo,サンシャインビル 1f,139.697044,35.6602788, $-   
,Tokyo,teamLab Planets TOKYO DMM,139.7897739,35.6491207, $30.00 
,Tokyo,Benitsuru,139.7918882,35.7119914, $-   
,Tokyo,Age.3 GINZA,139.7712752,35.6727278, $6.00 
,Tokyo,Henn na Hotel Tokyo Ginza,139.7739054,35.6700875, $-   
,Tokyo,Shibuya Station,139.7016358,35.6580339, $-   
,Tokyo,Shibuya Sky,139.7021636,35.6584466, $15.00 
,Tokyo,mofusand もふもふストア,139.7684685,35.6821567, $-   
,Tokyo,Sensō-ji,139.7966553,35.7147651, $-   
,Tokyo,Akihabara,139.7744733,35.7022589, $-   
,Tokyo,Shinjuku Golden-Gai,139.7047611,35.6941118, $-   
,Tokyo,Takeshita Street,139.7032035,35.6715615, $-   
,Tokyo,Meiji Jingu Gyoen,139.6986514,35.674009, $-   
,Tokyo,Onitsuka Tiger,139.7642999,35.6714975, $-   
,Tokyo,Nintendo Tokyo,139.6986385,35.6621161, $-   
,Tokyo,HARRY HARAJUKU terrace,139.7080074,35.6691908, $-   
,Tokyo,Kirby Café,139.8119021,35.7103764, $26.00 
,Tokyo,Seafood Misaki Shibuya East Exit,139.704509,35.656553, $-   
